TO32307N,ACCOUNTING INTERN
TO10221N,ADVERTISING & PROMOTIONS COORDINATOR
TO10207N,ADVERTISING MANAGER
TO10228N,ADVERTISING SPECIALIST
TO05203N,ASSISTANT MANAGER FOOD & BEVERAGE
TO10208N,ASSISTANT SHIFT MANAGER PLAYER SERVICES
TO01210N,ASSISTANT SHIFT MANAGER TABLE GAMES
TO02209N,ASSISTANT SHIFT MANAGER SLOT
TO10227N,AV TECHNICIAN
TO05317U,BAKER 1
TO05324U,BAKER 2
TO05325U,BAKER 3
TO05214N,BANQUET COORDINATOR
TO05303U,BARBACK
TO05302U,BARTENDER
TO35207N,BENEFITS SPECIALIST
TO32219N,CAGE MANAGER
TO05307U,BUSSER
TO33203N,BUYER
TO10229N,CASINO HOST
TO05208N,CHEF/KITCHEN MANAGER
TO10233N,COMMUNITY AND PUBLIC RELATIONS MANAGER
TO30300N,CASINO OPERATIONS  ADMINISTRATIVE ASSISTANT
TO30304N,CASINO OPERATIONS ADMINISTRATIVE COORDINATOR
TO30204N,COMPLIANCE ADMINISTRATOR
TO32105N,CONTROLLER CASINO
TO32104N,CONTROLLER FINANCE
TO30302N,COMPLIANCE CLERK
TO30205N,COMPLIANCE SUPERVISOR
TO05314U,COOK 1
TO05313U,COOK 2
TO05312U,COOK 3
TO05101N,DIRECTOR  FOOD & BEVERAGE
TO21101N,DIRECTOR FACILITIES
TO32101N,DIRECTOR FINANCE
TO34101N,DIRECTOR INFORMATION TECHNOLOGY
TO10101N,DIRECTOR MARKETING
TO32102N,DIRECTOR PLANNING & ANALYSIS
TO33101N,DIRECTOR PURCHASING
TO40101N,DIRECTOR SECURITY
TO21102N,DIRECTOR SUPPORT SERVICES
TO41101N,DIRECTOR SURVEILLANCE
TO01101N,DIRECTOR TABLE GAMES
TO32205N,DISBURSEMENT MANAGER
TO32303U,COUNT ROOM ASSOCIATE
TO10235N,DIGITAL DESIGN SUPERVISOR
TO10318N,EMCEE
TO40301U,EMT SECURITY OFFICER 
TO40303N,EVENT STAFF
TO10303N,EVENTS/ENTERTAINMENT COORDINATOR
TO22301U,EVS ATTENDANT
TO05201N,EXECUTIVE CHEF
TO05213N,EXECUTIVE SOUS CHEF
TO05202N,EXECUTIVE STEWARD
TO21201N,FACILITIES CHIEF ENGINEER
TO22302U,EVS DEEP CLEANERS
TO30203N,EXECUTIVE ADMINISTRATIVE ASSISTANT
TO21303U,FACILITIES GROUNDSKEEPER
TO21301U,FACILITIES TECHNICIAN
TO40304U,FIELD TRAINING OFFICER (FTO)
TO32215N,FINANCIAL ANALYST
TO05300N,FOOD & BEVERAGE ADMINISTRATIVE ASSISTANT
TO05308U,FOOD & BEVERAGE ATTENDANT
TO05318U,FOOD & BEVERAGE RUNNER
TO30100N,GENERAL MANAGER
TO05325N,FOOD AND BEVERAGE INTERN
TO10209N,GROUP SALES MANAGER
TO10304N,GRAPHIC ARTIST
TO10222N,GRAPHIC DESIGNER
TO35304N,HEALTH & WELLNESS CONSULTANT
TO05305U,HOSTESS/CASHIER
TO35202N,HUMAN RESOURCES BUSINESS PARTNER
TO35300N,HUMAN RESOURCES ADMINISTRATIVE ASSISTANT
TO35206N,HUMAN RESOURCES ANALYST
TO35302N,HUMAN RESOURCES CLERK
TO35301N,HUMAN RESOURCES COORDINATOR
TO35208N,HUMAN RESOURCES GENERALIST
TO35203N,HUMAN RESOURCES TRAINING MANAGER
TO35303N,HUMAN RESOURCES INTERN
TO35204N,HUMAN RESOURCES SPECIALIST
TO35205N,HUMAN RESOURCES TRAINING SPECIALIST
TO34300N,INFORMATION TECHNOLOGY ADMINISTRATIVE ASSISTANT
TO34202N,INFORMATION TECHNOLOGY APPLICATION SPECIALIST
TO34204N,INFORMATION TECHNOLOGY AS400
TO34302N,INFORMATION TECHNOLOGY AV TECHNICIAN
TO34205N,INFORMATION TECHNOLOGY LEAD AV TECHNICIAN
TO34203N,INFORMATION TECHNOLOGY NETWORK ADMINISTRATOR
TO34301N,INFORMATION TECHNOLOGY SYSTEM TECHINCIAN
TO42202N,INTERNAL AUDITOR
TO10103N,INTERNAL MANAGEMENT CONSULTANT
TO32306N,INVENTORY CONTROL CLERK
TO10314N,JUNIOR CASINO HOST
TO05316N,LEAD BAKER
TO32302U,LEAD COUNT ROOM ASSOCIATE
TO32212N,LEAD REVENUE AUDITOR
TO05323U,LEAD SERVER
TO05212N,LEAD SOUS CHEF
TO05301U,LEAD STEWARD
TO17303U,LEAD WARDROBE ATTENDANT
TO30206N,LEAP ASSOCIATE
TO32304U,MAIN BANKER
TO32202N,MANAGER ACCOUNTING
TO30202N,MANAGER COMPLIANCE
TO32204N,MANAGER COUNT ROOM
TO22200N,MANAGER EVS
TO21200N,MANAGER FACILITIES
TO05200N,MANAGER FOOD & BEVERAGE
TO42200N,MANAGER INTERNAL AUDIT
TO10200N,MANAGER MARKETING 
TO10201N,MANAGER MARKETING DATABASE 
TO10204N,MANAGER PLAYER DEVELOPMENT
TO01201N,MANAGER POKER
TO33200N,MANAGER PURCHASING
TO32201N,MANAGER REVENUE AUDIT
TO40200N,MANAGER SECURITY
TO02200N,MANAGER SLOT OPERATIONS
TO02208N,MANAGER SLOT PERFORMANCE
TO02201N,MANAGER SLOT TECH
TO41200N,MANAGER SURVEILLANCE
TO10300N,MARKETING ADMINISTRATIVE ASSISTANT
TO10301N,MARKETING ASSISTANT
TO10320N,MARKETING COMMUNICATION SPECIALIST
TO10223N,MARKETING COORDINATOR
TO10321N,MARKETING COORDINATOR
TO10225N,MARKETING DATABASE ANALYST
TO10302N,MARKETING DATABASE COORDINATOR 
TO10311N,MARKETING INTERN
TO10316N,MARKETING INTERN
TO10224N,MARKETING REPRESENTATIVE
TO05304U,MODEL BEVERAGE SERVER
TO05319U,MODEL LOUNGE SERVER
TO10226N,MULTIMEDIA DESIGNER
TO30301N,NON-CASINO OPERATIONS ADMINISTRATIVE ASSISTANT
TO05210N,PASTRY CHEF
TO32301N,PAYROLL / A/P CLERK
TO32218N,PAYROLL SPECIALIST
TO10232N,PLAYER DEVELOPMENT EXECUTIVE
TO10202N,PLAYER DEVELOPMENT MANAGER
TO10307U,PLAYER SERVICES CASHIER I
TO10306U,PLAYER SERVICES CASHIER II
TO10308U,PLAYER SERVICES CREDIT CLERK
TO10309U,PLAYER SERVICES REPRESENTATIVE
TO01304U,POKER DEALER
TO01308U,POKER DUAL RATE
TO01307U,POKER HOST
TO01211N,POKER SHIFT MANAGER
TO10236N,PROMOTIONS & SPECIAL EVENTS MANAGER
TO10231N,PROMOTIONS & SPECIAL EVENTS SUPERVISOR
TO10313N,PROMOTIONS REPRESENTATIVE
TO30303N,RECEPTIONIST
TO10102N,REGIONAL DATABASE DIRECTOR
TO10234N,REGIONAL DATABASE MARKETING MANAGER
TO33102N,REGIONAL DIRECTOR OF PURCHASING
TO09302U,RETAIL CLERK
TO09301U,RETAIL LEAD CLERK
TO32216N,REVENUE AUDITOR
TO40203N,SAFETY SPECIALIST
TO17302U,SEAMSTRESS
TO40302U,SECURITY OFFICER 
TO32211N,SENIOR FINANCIAL ANALYST
TO41301N,SENIOR SURVEILLANCE OPERATOR
TO05306N,SERVER
TO05306U,SERVER
TO10206N,SHIFT MANAGER PLAYER SERVICES/CAGE
TO40201N,SHIFT MANAGER SECURITY
TO02202N,SHIFT MANAGER SLOT
TO41201N,SHIFT MANAGER SURVEILLANCE
TO01203N,SHIFT MANAGER TABLE GAMES
TO10215N,SHIFT SUPERVISOR PLAYER SERVICES
TO10315U,SHOW PERSON
TO02302U,SLOT ATTENDANT
TO02301U,SLOT TECHNICIAN
TO10319N,SOCIAL MEDIA SPECIALIST
TO05207N,SOUS CHEF
TO32217N,STAFF ACCOUNTANT
TO05311U,STEWARD
TO05321U,STEWARD DEEP CLEANER
TO10214N,SUPERVISOR ADVERTISING
TO22202N,SUPERVISOR EVS
TO21202N,SUPERVISOR FACILITIES
TO05206N,SUPERVISOR FOOD & BEVERAGE
TO01205N,SUPERVISOR POKER
TO09201N,SUPERVISOR RETAIL
TO40202N,SUPERVISOR SECURITY
TO02204N,SUPERVISOR SLOT
TO02205N,SUPERVISOR SLOT TECH
TO05205N,SUPERVISOR STEWARD
TO41202N,SUPERVISOR SURVEILLANCE
TO01204N,SUPERVISOR TABLE GAMES
TO17201N,SUPERVISOR WARDROBE
TO18202N,SUPERVISOR WAREHOUSE
TO41304N,SURVEILLANCE OPERATOR
TO41203N,SURVEILLANCE TECH MANAGER
TO41303N,SURVEILLANCE TECHNICIAN
TO01303U,TABLE GAMES DEALER
TO01305N,TABLE GAMES DUAL RATE
TO01301N,TABLE GAMES SCHEDULER
TO01302N,TABLE GAMES TRAINER
TO17202N,TEAM MEMBER SERVICES SUPERVISOR
TO05315U,UTILITY
TO10230N,VIP SERVICES SUPERVISOR
TO30102N,VP CASINO OPERATIONS
TO32100N,VP FINANCE
TO05100N,VP FOOD & BEVERAGE
TO35100N,VP HUMAN RESOURCES
TO10100N,VP MARKETING
TO17301U,WARDROBE ATTENDANT 
TO18302U,WAREHOUSE ATTENDANT
TO18301U,WAREHOUSE LEAD ATTENDANT
